 3500 0.00  2.90 -1.88  2.483  1.891  0.913  1.971  4.785  1.073  1.214  0.155   
 3750 0.00  2.70 -1.34  2.605  1.824  0.895  1.736  4.043  0.938  1.054  0.137   
 4000 0.00  2.51 -0.99  2.404  1.685  0.800  1.518  3.501  0.796  0.891  0.124   
 4250 0.00  2.34 -0.72  2.018  1.547  0.709  1.338  3.060  0.674  0.752  0.113   
 4500 0.00  2.17 -0.52  1.620  1.406  0.638  1.201  2.692  0.578  0.643  0.103   
 4750 0.00  2.01 -0.37  1.292  1.260  0.578  1.092  2.377  0.500  0.557  0.092   
 5000 0.00  1.86 -0.24  1.044  1.112  0.520  0.991  2.101  0.431  0.486  0.082   
 5250 0.00  1.71 -0.14  0.852  0.966  0.460  0.889  1.854  0.370  0.426  0.073   
 5500 0.00  1.56 -0.06  0.701  0.824  0.400  0.785  1.626  0.314  0.371  0.067   
 5750 0.00  1.41  0.00  0.588  0.689  0.343  0.683  1.412  0.266  0.319  0.067   
 6000 0.00  1.26  0.05  0.505  0.556  0.288  0.587  1.215  0.222  0.271  0.069   
 3500 0.50  2.90 -1.90  2.266  1.776  0.875  1.949  4.806  1.082  1.220  0.151   
 3750 0.50  2.71 -1.33  2.388  1.743  0.873  1.714  4.038  0.958  1.072  0.131   
 4000 0.50  2.52 -0.98  2.202  1.613  0.789  1.503  3.495  0.821  0.915  0.117   
 4250 0.50  2.34 -0.71  1.854  1.480  0.696  1.321  3.054  0.698  0.775  0.106   
 4500 0.50  2.18 -0.51  1.497  1.350  0.623  1.181  2.688  0.598  0.662  0.095   
 4750 0.50  2.02 -0.36  1.189  1.213  0.564  1.071  2.378  0.518  0.574  0.084   
 5000 0.50  1.87 -0.24  0.951  1.075  0.509  0.974  2.107  0.450  0.502  0.074   
 5250 0.50  1.72 -0.15  0.770  0.940  0.454  0.879  1.866  0.388  0.440  0.064   
 5500 0.50  1.58 -0.07  0.633  0.808  0.399  0.783  1.647  0.334  0.386  0.057   
 5750 0.50  1.43 -0.01  0.533  0.684  0.347  0.688  1.442  0.284  0.333  0.054   
 6000 0.50  1.29  0.04  0.466  0.568  0.296  0.596  1.250  0.239  0.284  0.056   
 6250 0.50  1.14  0.07  0.418  0.452  0.248  0.510  1.074  0.201  0.241  0.058   
 6500 0.50  1.01  0.09  0.376  0.345  0.201  0.428  0.913  0.167  0.203  0.059   
 6750 0.50  0.87  0.11  0.332  0.260  0.160  0.353  0.765  0.138  0.169  0.059   
 7000 0.50  0.75  0.12  0.281  0.191  0.125  0.288  0.632  0.115  0.140  0.058   
 7250 0.50  0.63  0.12  0.223  0.145  0.097  0.234  0.514  0.095  0.114  0.055   
 7500 0.50  0.53  0.11  0.137  0.141  0.086  0.202  0.419  0.078  0.090  0.051   
 3500 1.00  2.91 -1.93  2.044  1.665  0.845  1.940  4.840  1.085  1.221  0.147   
 3750 1.00  2.71 -1.33  2.179  1.668  0.854  1.700  4.041  0.969  1.082  0.127   
 4000 1.00  2.52 -0.97  2.016  1.550  0.784  1.498  3.495  0.840  0.933  0.112   
 4250 1.00  2.35 -0.71  1.697  1.422  0.690  1.315  3.054  0.717  0.794  0.100   
 4500 1.00  2.18 -0.51  1.377  1.300  0.614  1.171  2.688  0.615  0.679  0.089   
 4750 1.00  2.02 -0.36  1.092  1.173  0.554  1.058  2.380  0.533  0.588  0.078   
 5000 1.00  1.87 -0.24  0.864  1.043  0.501  0.963  2.112  0.464  0.514  0.068   
 5250 1.00  1.73 -0.15  0.691  0.916  0.449  0.872  1.876  0.403  0.452  0.058   
 5500 1.00  1.59 -0.08  0.562  0.794  0.398  0.781  1.663  0.348  0.397  0.050   
 5750 1.00  1.44 -0.02  0.470  0.678  0.349  0.692  1.464  0.298  0.345  0.046   
 6000 1.00  1.30  0.03  0.412  0.570  0.302  0.606  1.278  0.254  0.296  0.046   
 6250 1.00  1.17  0.06  0.376  0.470  0.257  0.522  1.104  0.213  0.251  0.046   
 6500 1.00  1.03  0.09  0.354  0.369  0.213  0.442  0.943  0.177  0.211  0.048   
 6750 1.00  0.90  0.10  0.332  0.275  0.171  0.367  0.797  0.148  0.177  0.049   
 7000 1.00  0.77  0.11  0.300  0.202  0.134  0.298  0.661  0.121  0.146  0.048   
 7250 1.00  0.65  0.11  0.261  0.141  0.102  0.239  0.540  0.099  0.119  0.046   
 7500 1.00  0.54  0.11  0.208  0.094  0.077  0.191  0.436  0.081  0.095  0.044   
 7750 1.00  0.44  0.09  0.144  0.066  0.060  0.154  0.347  0.066  0.075  0.041   
 8000 1.00  0.34  0.06  0.060  0.060  0.054  0.137  0.280  0.056  0.058  0.038   
 8250 1.00  0.25  0.01 -0.037  0.066  0.060  0.139  0.240  0.049  0.046  0.034   
 3500 1.50  2.91 -1.97  1.831  1.560  0.823  1.941  4.883  1.085  1.218  0.145   
 3750 1.50  2.71 -1.34  1.986  1.599  0.837  1.692  4.052  0.976  1.087  0.124   
 4000 1.50  2.53 -0.97  1.852  1.497  0.782  1.498  3.501  0.854  0.946  0.108   
 4250 1.50  2.35 -0.71  1.559  1.372  0.690  1.316  3.059  0.732  0.809  0.095   
 4500 1.50  2.18 -0.51  1.266  1.256  0.610  1.167  2.692  0.629  0.693  0.084   
 4750 1.50  2.03 -0.36  1.006  1.138  0.548  1.052  2.383  0.544  0.599  0.073   
 5000 1.50  1.87 -0.24  0.788  1.016  0.496  0.956  2.118  0.474  0.523  0.063   
 5250 1.50  1.73 -0.16  0.620  0.896  0.446  0.867  1.885  0.413  0.460  0.053   
 5500 1.50  1.59 -0.09  0.494  0.782  0.398  0.781  1.675  0.359  0.405  0.045   
 5750 1.50  1.45 -0.03  0.406  0.673  0.352  0.697  1.482  0.310  0.354  0.040   
 6000 1.50  1.31  0.01  0.352  0.571  0.308  0.614  1.301  0.264  0.305  0.038   
 6250 1.50  1.18  0.05  0.324  0.479  0.265  0.534  1.130  0.223  0.260  0.038   
